State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.72512	1.71171	1.71082	1.72512	1.72869	1.72065	1.73137	1.71171	1.71171	1.69474	1.71350	1.70993	1.71350	1.70457	1.70725	1.69653	1.71261	1.71439	1.69742	1.68670	1.68491
2	0.68231	0.68484	0.68631	0.68773	0.69132	0.69395	0.69582	0.70018	0.70534	0.71085	0.71733	0.72249	0.72659	0.73201	0.73530	0.73975	0.74506	0.75007	0.75524	0.76055	0.76439
3	3.17226	3.17718	3.19539	3.20179	3.19391	3.18407	3.16389	3.14421	3.11665	3.09106	3.08515	3.03495	3.00001	2.95769	2.92570	2.87895	2.81300	2.73230	2.67127	2.61025	2.56202
4	1.15746	1.15046	1.10326	1.05430	1.03594	1.02021	1.00185	0.97650	0.96338	0.93191	0.90219	0.87684	0.85935	0.83225	0.81477	0.78767	0.77018	0.79029	0.77805	0.79553	0.81739
5	2.58068	2.47116	2.39022	2.44736	2.52830	2.51402	2.51402	2.54735	2.48069	2.32356	2.20453	2.14739	2.00455	1.95217	1.74743	1.75695	1.86170	1.88075	1.98074	1.93789	1.91884
6	1.51562	1.51992	1.51131	1.61034	1.67493	1.73521	1.86869	1.95480	1.96772	2.07967	1.98494	2.01508	2.06675	2.01939	2.03231	2.10550	2.05384	2.16578	2.21315	2.11412	1.95480
7	1.67140	1.63395	1.67843	1.69247	1.66672	1.70652	1.80483	1.88677	1.96401	1.99679	1.97572	2.13256	2.01083	1.99445	2.04595	1.98976	1.96636	1.83527	1.83527	1.93592	1.87506
8	0.73516	0.73601	0.73402	0.73203	0.73061	0.72578	0.71953	0.72010	0.72152	0.73771	0.74680	0.74794	0.76868	0.77862	0.78459	0.79936	0.80987	0.82407	0.82918	0.83259	0.84083
9	3.99332	3.99332	3.95676	3.81056	3.71004	3.90194	4.00245	3.82883	3.36279	3.22572	2.93331	2.55865	2.44899	2.55865	2.59520	2.78710	2.67744	2.77796	2.92417	2.85106	2.96072
10	4.56917	4.55950	4.55950	4.46763	4.25972	4.08083	3.84391	3.65050	3.61666	3.37007	3.14282	3.18150	3.25402	3.26369	3.31204	3.22501	3.25402	3.27820	3.22501	3.20567	3.32655
