State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	3.37101	3.43015	3.48771	3.53739	3.49402	3.40176	3.17072	2.84584	2.55172	2.37351	2.25049	2.18426	2.32225	2.56197	2.82534	3.02011	3.13051	3.18491	3.17072	3.13760	3.04692
2	0.53573	0.52269	0.50540	0.48539	0.46110	0.43197	0.39870	0.36698	0.34711	0.33339	0.32754	0.32710	0.33116	0.34076	0.35492	0.37359	0.39401	0.41187	0.42590	0.43957	0.45024
3	1.17759	1.12330	1.05640	0.97431	0.87483	0.76885	0.66937	0.57164	0.50779	0.47521	0.46739	0.47564	0.49823	0.52907	0.58120	0.67936	0.84269	1.02773	1.19714	1.33745	1.46602
4	1.46531	1.35574	1.14972	0.92826	0.74539	0.60341	0.54014	0.51236	0.48535	0.47918	0.48458	0.49538	0.50155	0.52316	0.56714	0.74076	1.19447	1.94835	2.72460	3.42060	3.94917
5	5.13142	5.62313	6.38381	6.88813	6.55191	5.35416	3.60586	2.37029	1.92061	1.71888	1.71047	1.66845	2.00886	3.16879	7.35462	14.61258	19.88689	20.75683	19.55488	17.22662	14.94038
6	2.18906	2.20806	2.26127	2.37908	2.73252	3.00996	3.27219	3.78905	4.01708	3.17718	2.48170	1.88882	1.39097	1.25415	1.27315	1.28075	1.25035	1.21234	1.22375	1.20854	1.10593
7	2.35339	2.67572	3.20673	3.94643	5.04564	6.26883	7.05605	6.58702	4.72952	4.86795	4.40099	2.09925	2.08272	2.43191	2.67159	2.89887	2.83688	2.45050	2.13438	1.87197	1.80379
8	1.77842	1.75636	1.71348	1.61620	1.45899	1.22406	0.93823	0.66067	0.49619	0.42599	0.40618	0.40844	0.43752	0.47187	0.52277	0.58420	0.64588	0.69527	0.73288	0.75996	0.77576
9	4.02477	4.67809	5.65403	7.83983	10.88865	15.74418	22.77744	29.94782	34.10164	33.94839	31.42384	28.97994	28.06046	26.25375	23.01941	18.06709	13.14704	9.23519	7.21877	5.41206	4.48451
10	5.03162	5.94064	7.36178	9.36333	12.64519	17.56158	24.31734	32.79299	41.69967	46.46669	51.16543	58.14311	56.99083	52.97920	45.52353	34.48726	24.18504	17.38233	12.44887	9.51270	7.59650
