State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	3.89175	3.81087	1.55929	0.87484	1.71368	2.25056	3.10506	0.71649
2	68.70432	0.17327	0.63797	0.82299	0.71736	0.32755	0.44884	1.23523
3	7.06485	0.68473	3.35389	2.17809	3.08498	0.46740	0.82444	0.22877
4	3.97708	0.29107	1.28591	2.29378	0.90141	0.48459	1.09677	0.13903
5	0.73021	0.88153	2.16500	2.25706	2.20476	1.71053	6.93841	0.11318
6	0.80748	1.50789	1.67453	1.25266	1.98515	2.48177	2.13578	0.35384
7	1.48524	2.49314	1.63233	1.14463	1.97593	4.40113	3.53736	0.48618
8	12.23952	0.11849	0.59780	0.77229	0.74688	0.40619	0.92248	0.71556
9	0.38048	52.88114	6.39481	1.17937	2.93361	31.42480	17.05825	0.50777
10	0.71908	55.81513	8.60047	1.78129	3.14314	51.16273	23.73335	0.18794
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
