State (Emission order)	H3K27me3	H2AFZ	H3K4me2	H3K4me3	H3K9ac	H3K27ac	H3K4me1	H3K9me1	H3K79me2	H3K36me3
1	0.30347591644287236	0.014034615462052077	0.0013639653829726221	7.504835260197133E-4	9.805131056897073E-4	7.635023119429767E-5	0.005414841494130553	0.0038257776688443803	1.0022386470090035E-4	0.0012598290894440508
2	0.00350117417944336	0.0011405797443024342	6.970003663324479E-5	3.6785810455032655E-4	2.919391916505381E-4	1.825999561307946E-5	2.3689096314631188E-4	0.0012688675377004173	6.871101356749E-5	0.0019613095340690278
3	1.710741842279974E-4	6.877578924855545E-4	2.8371339273802255E-4	9.370083031474362E-4	0.0011663964273723464	0.0012643634770731443	0.003894341272965337	0.0065863833838811035	0.056387824247436116	0.0856179429792638
4	2.2213484255180667E-4	0.0016077685182163087	0.0024253560263055238	7.767999710777513E-4	0.00158302482754993	0.0036002475967377968	0.019415910847385386	0.015759334943117955	0.8281544029797497	0.0561198275344979
5	3.0976580873891995E-4	0.060215693456100096	0.4587480377897044	0.15654994203868344	0.12245403818144333	0.421689246179956	0.7457904044149992	0.04702345813655304	0.9171992746019121	0.07155890481580485
6	2.4341293810832397E-4	0.5126237747349989	0.5130079412747233	0.10258877158172762	0.34911453611288545	0.9753764448923891	0.8349680916056249	0.017163453655494973	0.020757449433209858	0.011224067098045317
7	0.002180573612565966	0.38765689621223876	0.09747297478828985	0.007505442869970371	0.010948808281252389	0.12972220092495762	0.40941802388473675	0.012722321332385086	0.009089199244872692	0.007984763240139123
8	0.0030547347168902654	0.07105985565424733	1.6030130809095372E-7	3.609061126666921E-4	5.832701825618535E-4	3.510214481936289E-55	2.047468807623766E-4	0.0023878091385673506	1.5086243729381715E-5	0.0020168738950150085
9	0.3325878532171598	0.7693113132413714	0.8411720241298339	0.558852440739699	0.19069628214792214	0.03201731048160814	0.6086289604759891	0.02572791550071671	0.014040549420688135	0.0256007484602662
10	0.001979574254464311	0.7219100237221893	0.9509957013700087	0.9652606883741227	0.9395547820164916	0.8664725909569023	0.5006826835844219	0.006751841486657892	0.5141961239472118	0.011294761613701229
